epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9997,1.41011,23.6599,1.19498,0.00014,0.47619,0.00011,4e-05,0.37649,167.846,1.67809,0.000664141,0.000664141,0.000664141
2,47.3943,1.61149,11.295,1.41657,0.00025,0.85714,0.00377,0.00104,0.3127,6.50026,0.29992,0.00130446,0.00130446,0.00130446
3,68.5043,1.67979,4.87671,1.49563,0.13697,0.04762,0.07515,0.02053,0.31809,0.59871,0.33092,0.00191837,0.00191837,0.00191837
4,90.8346,1.63448,2.9169,1.46369,0.20617,0.14286,0.09679,0.03453,0.34452,0.50185,0.35124,0.0018812,0.0018812,0.0018812
5,111.928,1.61788,2.40889,1.48897,0.10526,0.09524,0.07375,0.01877,0.32344,0.6658,0.31333,0.0018416,0.0018416,0.0018416
6,133.328,1.48689,1.95809,1.38307,0.21429,0.14286,0.15762,0.05409,0.32813,0.63406,0.37949,0.001802,0.001802,0.001802
7,155.635,1.61328,2.04687,1.49725,0.31228,0.28571,0.2115,0.071,0.31548,10.28,0.37292,0.0017624,0.0017624,0.0017624
8,177.793,1.6,1.83471,1.53816,0.26928,0.33333,0.2161,0.09151,0.29712,0.44414,0.32849,0.0017228,0.0017228,0.0017228
9,199.534,1.54708,1.76355,1.45735,0.31506,0.38095,0.2901,0.12394,0.31574,0.65841,0.32893,0.0016832,0.0016832,0.0016832
10,220.614,1.40976,1.61573,1.38458,0.27778,0.47619,0.34907,0.14959,0.2872,0.58623,0.3319,0.0016436,0.0016436,0.0016436
11,242.08,1.43064,1.47168,1.43885,0.42867,0.57143,0.48387,0.21196,0.28737,0.35807,0.33708,0.001604,0.001604,0.001604
12,263.564,1.36315,1.60672,1.33018,0.48968,0.32055,0.41427,0.17094,0.28771,0.33482,0.29981,0.0015644,0.0015644,0.0015644
13,284.919,1.31291,1.41522,1.32119,0.4664,0.47619,0.44513,0.1741,0.3092,0.3355,0.36481,0.0015248,0.0015248,0.0015248
14,306.282,1.34453,1.36243,1.34999,0.5145,0.47619,0.45349,0.21952,0.27068,0.40832,0.32506,0.0014852,0.0014852,0.0014852
15,327.999,1.25518,1.2347,1.33191,0.51489,0.47619,0.50308,0.23327,0.25745,0.29851,0.2983,0.0014456,0.0014456,0.0014456
16,349.428,1.31561,1.27519,1.33633,0.59437,0.61905,0.62385,0.27042,0.25256,0.25453,0.32806,0.001406,0.001406,0.001406
17,370.72,1.31348,1.20001,1.30657,0.75025,0.57143,0.73069,0.29924,0.26358,0.23584,0.33165,0.0013664,0.0013664,0.0013664
18,392.055,1.29511,1.31967,1.28439,0.46201,0.66667,0.52988,0.21384,0.26411,0.2879,0.32521,0.0013268,0.0013268,0.0013268
19,413.309,1.35818,1.25907,1.38935,0.55124,0.33333,0.41687,0.14525,0.32184,0.35406,0.3904,0.0012872,0.0012872,0.0012872
20,434.628,1.33202,1.26294,1.3752,0.61448,0.57143,0.65779,0.30525,0.24874,0.24076,0.31883,0.0012476,0.0012476,0.0012476
21,456.259,1.27623,1.13181,1.28045,0.62323,0.61905,0.67724,0.32704,0.24521,0.25792,0.31158,0.001208,0.001208,0.001208
22,477.704,1.22558,1.05381,1.27533,0.65165,0.57143,0.6737,0.3081,0.24937,0.24685,0.31118,0.0011684,0.0011684,0.0011684
23,499.725,1.17791,0.99888,1.19335,0.47794,0.69786,0.62023,0.27722,0.23681,0.26266,0.31773,0.0011288,0.0011288,0.0011288
24,521.397,1.25823,1.1223,1.27098,0.67348,0.42857,0.5023,0.23277,0.26791,0.36483,0.32537,0.0010892,0.0010892,0.0010892
25,543.367,1.26022,1.06562,1.28447,0.49225,0.71429,0.64078,0.20015,0.26314,0.35244,0.32653,0.0010496,0.0010496,0.0010496
26,564.284,1.15035,1.09091,1.1513,0.74851,0.52381,0.70384,0.34886,0.24782,0.37642,0.28855,0.00101,0.00101,0.00101
27,585.438,1.25298,1.06418,1.31293,0.49039,0.85714,0.63492,0.29208,0.2366,0.35296,0.3131,0.0009704,0.0009704,0.0009704
28,606.54,1.20744,1.09581,1.2668,0.7575,0.74428,0.82499,0.39814,0.22947,0.27257,0.30651,0.0009308,0.0009308,0.0009308
29,628.533,1.15227,0.9639,1.19849,0.71738,0.52381,0.6357,0.30681,0.25671,0.28839,0.31326,0.0008912,0.0008912,0.0008912
30,650.635,1.27296,1.12761,1.28464,0.88128,0.7619,0.86599,0.38398,0.23575,0.26687,0.29312,0.0008516,0.0008516,0.0008516
31,672.142,1.12297,0.90873,1.15323,0.7329,0.71429,0.82473,0.40571,0.21454,0.34891,0.28435,0.000812,0.000812,0.000812
32,693.921,1.16956,0.88625,1.19871,0.77932,0.66667,0.8119,0.4087,0.21286,0.23229,0.27842,0.0007724,0.0007724,0.0007724
33,715.579,1.21384,0.93067,1.27829,0.96201,0.52381,0.66628,0.31662,0.24451,0.35903,0.30301,0.0007328,0.0007328,0.0007328
34,737.163,1.13709,0.89699,1.18791,0.93841,0.72603,0.87885,0.42379,0.23157,0.22078,0.29528,0.0006932,0.0006932,0.0006932
35,759.58,1.01999,0.83598,1.08082,0.89925,0.61905,0.79355,0.39945,0.21049,0.19901,0.27922,0.0006536,0.0006536,0.0006536
36,781.805,1.14975,0.93632,1.23132,0.85267,0.8273,0.92863,0.43614,0.23701,0.17601,0.29328,0.000614,0.000614,0.000614
37,802.712,1.01186,0.83315,1.07058,0.76702,0.78443,0.86721,0.42421,0.21634,0.18478,0.29631,0.0005744,0.0005744,0.0005744
38,824.667,1.04517,0.84521,1.11644,0.7138,0.85714,0.86358,0.40373,0.22113,0.19259,0.28671,0.0005348,0.0005348,0.0005348
